Meaning	Basic_vocabulary	Category	Leipzig-Jakarta_rank
all	yes	FunctionWord	-
and	yes	FunctionWord	-
animal	yes	Noun	-
ant	yes	Noun	71
armpit	no	Noun	500
arrive	no	Verb	435
ashes	yes	Noun	84
at	yes	FunctionWord	-
back	yes	Noun	46
bad	yes	Adjective	-
bake	no	Verb	420
bark_n	yes	Noun	416
bat	no	Noun	472
bathe	no	Verb	469
be_hungry	no	Verb	424
because	yes	FunctionWord	-
become	no	Verb	456
begin	no	Verb	446
behind	no	FunctionWord	402
belly	yes	Noun	-
berry	yes	Noun	-
beside	no	FunctionWord	430
big	yes	Adjective	32
bird	yes	Noun	91
bite	yes	Verb	46
bitter	yes	Adjective	28
black	yes	Adjective	42
blood	yes	Noun	7
blow	yes	Verb	79
bone	yes	Noun	7
bore	no	Verb	436
borrow	no	Verb	450
breast	yes	Noun	12
breathe	yes	Verb	-
burn	yes	Verb	53
carry	yes	Verb	70
charcoal	no	Noun	484
child	yes	Noun	-
child_kin	yes	Noun	51
claw_nail	yes	Noun	-
clean	no	Adjective	461
cloud	yes	Noun	-
cold	yes	Adjective	-
comb	no	Noun	488
come	yes	Verb	11
cooked	no	Adjective	414
count	yes	Verb	-
crush	yes	Verb	100
cut	yes	Verb	-
cut_down	no	Verb	405
day	yes	Noun	-
deaf	no	Adjective	463
die	yes	Verb	-
dig	yes	Verb	-
dirty	yes	Adjective	496
disappear	no	Verb	464
divide	no	Verb	490
do	yes	Verb	25
dog	yes	Noun	84
dream	no	Verb	483
drink	yes	Verb	42
dry	yes	Adjective	-
dull	yes	Adjective	478
dust	yes	Noun	-
ear	yes	Noun	22
early	no	FunctionWord	465
earth	yes	Noun	63
eat	yes	Verb	75
egg	yes	Verb	52
extinguish	no	Verb	479
eye	yes	Noun	83
face	no	Noun	429
fall	yes	Verb	81
far	yes	Adverb	23
fat	yes	Noun	-
father	yes	Noun	-
fear	yes	Verb	-
feather	yes	Noun	-
few	yes	FunctionWord	-
fight	yes	Verb	-
fire	yes	Noun	1
fish	yes	Noun	38
five	yes	FunctionWord	-
float	yes	Verb	-
flow	yes	Verb	-
flower	yes	Noun	-
fly	yes	Verb	-
fly_n	yes	Noun	20
fog	yes	Noun	-
foot	yes	Noun	37
four	yes	FunctionWord	-
fox	no	Noun	418
freeze	yes	Verb	-
full	yes	Adjective	-
gather	no	Verb	417
girl	no	Noun	477
give	yes	Verb	53
go	yes	Verb	3
good	yes	Adjective	56
grandchild	no	Noun	473
grandson	no	Noun	481
grass	yes	Noun	-
green	yes	Adjective	-
groan	no	Verb	443
guts	yes	Noun	-
hair	yes	Noun	31
hand	yes	Noun	19
hard	yes	Adjective	99
he_she	yes	FunctionWord	34
head	yes	Noun	-
hear	yes	Verb	61
heart	yes	Noun	-
heavy	yes	Adjective	71
heel	no	Noun	408
hen	no	Noun	453
here	yes	FunctionWord	-
hide	yes	Verb	67
hit	yes	Verb	36
hold	yes	Verb	-
horn	yes	Noun	38
house	yes	Noun	26
how	yes	FunctionWord	-
hunt	yes	Verb	476
husband	yes	Noun	-
I	yes	FunctionWord	14
ice	yes	Noun	474
if	yes	FunctionWord	-
in	yes	FunctionWord	97
keep	no	Verb	491
kill	yes	Verb	-
knee	yes	Noun	59
know	yes	Verb	56
lake	yes	Noun	-
laugh	yes	Verb	61
leaf	yes	Noun	64
leave	no	Verb	423
left	yes	Adjective	-
leg	yes	Noun	37
lend	no	Verb	431
lie	yes	Verb	-
light	no	Verb	410
live	yes	Verb	-
liver	yes	Noun	66
long	yes	Adjective	78
lose	no	Verb	422
loud	no	Adjective	442
louse	yes	Noun	15
lung	no	Noun	486
man	yes	Noun	440
many	yes	FunctionWord	-
meat	yes	Noun	18
millet	no	Noun	432
mind	no	Noun	499
molar_tooth	no	Noun	426
moon	yes	Noun	-
morning	no	Noun	460
mosquito	no	Noun	407
mother	yes	Noun	-
mountain	yes	Noun	-
mouth	yes	Noun	5
mumble	no	Verb	480
name	yes	Noun	15
narrow	yes	Adjective	-
navel	yes	Noun	42
near	yes	Adverb	-
neck	yes	Noun	23
new	yes	Adjective	53
night	yes	Noun	20
nine	no	FunctionWord	413
nit	no	Noun	467
nose	yes	Noun	2
not	yes	FunctionWord	56
